Date,Close,High,Low,Open,Volume
,DIA,DIA,DIA,DIA,DIA
2009-01-02,61.540321350097656,61.82687670124218,59.7459656782445,60.005224590425115,24558800
2009-01-05,61.19915008544922,61.62898023806399,60.63287426108367,61.3151390567086,25612100
2009-01-06,61.50614929199219,62.0178476967421,60.98080268150036,61.52661639533973,37258400
2009-01-07,59.943817138671875,60.844406938125196,59.51399196345667,60.63972530882078,33165500
2009-01-08,59.65036392211914,59.74588050123677,59.04997325262786,59.404748374312895,23641700
2009-01-09,58.770259857177734,59.87553015042792,58.565578438154276,59.814123642614994,24494100
2009-01-12,57.849212646484375,58.68839514003763,57.487613262655294,58.51782900009821,22622000
2009-01-13,57.59676742553711,58.190339410153626,57.194233871966084,57.72639934528744,29846500
2009-01-14,56.00027084350586,56.87356856184073,55.590913188694515,56.73711774532528,38850600
2009-01-15,56.06845474243164,56.6142680149398,54.6084102245226,55.99340528733023,44216600
2009-01-16,56.51344299316406,56.99868294480122,55.37893435176528,56.87566399831477,37613200
2009-01-20,54.27174377441406,56.32205511825965,54.237569832998744,56.185364566809774,36892100
2009-01-21,56.205833435058594,56.322021638277086,54.23070176505206,55.119171571595636,34826600
2009-01-22,55.467769622802734,56.06919252471021,54.367435234951486,55.29007447811165,40157400
2009-01-23,55.03036880493164,55.72064193418814,54.025720359289124,54.333265056945216,44701000
2009-01-26,55.406272888183594,56.2400673967891,54.80484981988129,55.2627516519142,28917300
2009-01-27,55.70693588256836,56.20584183426495,55.22169637282947,55.693264226401595,23352800
2009-01-28,57.19000244140625,57.436040153043784,56.44505347722317,56.75260322387507,21080000
2009-01-29,55.72064208984375,56.68429118316026,55.59762316759511,56.438253338662975,20825600
2009-01-30,54.72962951660156,56.01448904231518,54.40157750247795,55.92564412029893,26172600
2009-02-02,54.2102165222168,54.6202776331629,53.75231503523048,54.08719766751197,22968000
2009-02-03,55.105506896972656,55.42672302485666,54.00517324002096,54.524586664135725,24065100
2009-02-04,54.46310806274414,55.843648809227325,54.22390088926704,55.221723715137166,27506400
2009-02-05,55.050838470458984,55.46089952359313,53.649790890190715,54.16920433840553,39865100
2009-02-06,56.629581451416016,56.9097878665543,55.167026915458926,55.26954349239623,30049700
2009-02-09,56.554443359375,56.92350017135327,56.11020801824115,56.588617314159684,20793600
2009-02-10,54.12141418457031,56.540783421296545,53.72501920592959,56.19906469092641,49006600
2009-02-11,54.3674201965332,54.68180061835762,53.77282807735015,54.415260582154076,33244600
2009-02-12,54.333221435546875,54.415235722376,52.72714612148878,53.60194432416509,45482100
2009-02-13,53.68397521972656,54.64078279104025,53.629299011591435,54.31957180021934,23850300
2009-02-17,51.77035140991211,52.665652188189675,51.7498491347165,52.35127180203275,36731400
2009-02-18,51.777217864990234,52.27612423721203,51.31931085319967,52.112100724419854,35793800
2009-02-19,51.27826690673828,52.28291992786088,51.12107934848109,52.235079556103116,30933800
2009-02-20,50.636138916015625,51.30917835094606,49.77766650636983,50.35455745059592,46343700
2009-02-23,48.8642578125,51.103155654211584,48.80931431265051,50.98639940710628,36003600
2009-02-24,50.395774841308594,50.6842256240482,48.86426262015075,49.1527081631893,37524300
2009-02-25,49.908164978027344,50.85592214188154,49.14584084175386,50.15540552166746,43668900
2009-02-26,49.338134765625,50.86965218991189,49.28319650138269,50.464455637657615,31367300
2009-02-27,48.59639358520508,49.44799650229577,48.328550689993506,48.50710912700239,35756000
2009-03-02,46.584163665771484,47.95085073164052,46.4193331354394,47.83409970243143,36931600
2009-03-03,46.15834426879883,47.11296517691956,46.07592903051006,47.0305551783306,30799800
2009-03-04,47.22970199584961,47.99202569224608,46.446775805988075,46.94125660794236,31996400
2009-03-05,45.375431060791016,46.73525407029094,45.00457024001831,46.35752400106837,35056100
2009-03-06,45.67072296142578,46.44677997658403,44.48946432617696,45.698194701745365,35830500
2009-03-09,44.94276428222656,46.1308875599062,44.812274755658855,44.99083854364074,28114400
2009-03-10,47.48383331298828,47.54564606129322,45.698211455177365,45.75315495595939,31008100
2009-03-11,47.71733474731445,48.294225716011354,47.26405878073833,47.861557489488675,21875300
2009-03-12,49.29008483886719,49.4411769294387,47.28469311239905,47.64868483621032,21938300
2009-03-13,49.66775131225586,49.85317894195102,48.898558583812566,49.578472118654005,21835800
2009-03-16,49.66094207763672,50.869673471563736,49.58539603803484,50.11421831524802,24509000
2009-03-17,50.87648391723633,50.90395564894798,49.35183686527041,49.64715143154936,20439900
